,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
237,Tura,25.5198,90.2201,71.6,97,43,5.35,IN,scattered clouds
238,San Carlos De Bariloche,-41.1456,-71.3082,37.08,75,60,6.2,AR,broken clouds
239,Howick,-29.4779,30.2306,45.03,72,0,4.16,ZA,clear sky
240,Half Moon Bay,37.4636,-122.4286,91.62,54,75,8.86,US,broken clouds
241,Cidreira,-30.1811,-50.2056,72.18,73,100,5.88,BR,overcast clouds
242,Sandwick,60.0,-1.25,48.02,93,90,8.16,GB,fog
243,Prince Rupert,54.3161,-130.3201,48.99,86,100,8.25,CA,light rain
244,Koprivnica,46.1628,16.8275,67.77,91,94,5.08,HR,overcast clouds
245,Ust-Nera,64.5667,143.2,69.48,39,8,5.97,RU,clear sky
246,Peniche,39.3558,-9.3811,64.74,86,4,16.96,PT,clear sky
247,Aswan,24.0934,32.907,83.7,19,7,14.2,EG,clear sky
248,Verkhnevilyuysk,63.4453,120.3167,48.27,81,100,1.34,RU,overcast clouds
249,Dovolnoye,54.4958,79.6671,49.06,88,38,10.22,RU,scattered clouds
250,Sao Joao Da Barra,-21.6403,-41.0511,73.51,85,0,9.71,BR,clear sky
251,Sao Filipe,14.8961,-24.4956,76.87,67,91,13.0,CV,overcast clouds
252,Iranshahr,27.2025,60.6848,92.59,42,0,5.06,IR,clear sky
253,Harstad,68.799,16.5293,51.58,79,20,4.34,NO,few clouds
254,Abapo,-18.8333,-63.4667,80.62,44,61,1.66,BO,broken clouds
255,Jumla,29.2747,82.1838,55.51,84,81,2.82,NP,broken clouds
256,San Jose,37.3394,-121.895,91.56,34,75,1.99,US,broken clouds
257,Mehamn,71.0357,27.8492,40.86,77,67,14.38,NO,broken clouds
258,Yerbogachen,61.2767,108.0108,42.6,67,60,1.63,RU,broken clouds
259,Zhuhai,22.2769,113.5678,81.05,89,20,3.04,CN,few clouds
260,Whitehorse,60.7161,-135.0538,60.31,29,100,8.01,CA,light rain
261,Carora,10.1755,-70.0827,85.91,52,100,14.83,VE,overcast clouds
262,Huancavelica,-12.7667,-74.9833,47.98,51,99,5.35,PE,overcast clouds
263,Kodinsk,58.6881,99.1844,40.33,63,100,3.47,RU,overcast clouds
264,Warwick,41.7001,-71.4162,90.82,58,75,14.97,US,broken clouds
265,Los Mochis,25.7667,-108.9667,99.07,29,0,15.97,MX,clear sky
266,Nichinan,31.6,131.3667,63.84,91,100,4.88,JP,light rain
267,Vila Velha,-20.3297,-40.2925,75.94,86,11,1.01,BR,few clouds
268,Muros,42.7762,-9.0603,65.84,71,0,8.43,ES,clear sky
269,Baykit,61.67,96.37,41.76,90,90,8.37,RU,overcast clouds
270,Nyurba,63.2842,118.3319,49.57,76,100,2.89,RU,overcast clouds
271,Kankakee,41.15,-87.8667,90.95,42,40,12.66,US,scattered clouds
272,Korla,41.7597,86.1469,75.72,26,43,8.68,CN,scattered clouds
273,Souillac,-20.5167,57.5167,70.36,81,3,5.12,MU,clear sky
274,Talnakh,69.4865,88.3972,29.1,98,96,3.33,RU,light snow
275,Sisimiut,66.9395,-53.6735,41.02,87,100,5.32,GL,overcast clouds
276,Magog,45.2668,-72.1491,80.4,57,99,17.27,CA,overcast clouds
277,Rafai,4.95,23.9167,69.26,99,100,1.45,CF,light rain
278,Port Hedland,-20.3167,118.5667,68.05,52,17,8.05,AU,few clouds
279,San Cristobal,7.7669,-72.225,78.12,66,52,4.76,VE,broken clouds
280,Chipinge,-20.1883,32.6236,46.09,89,53,3.09,ZW,broken clouds
281,Rio Tercero,-32.173,-64.1141,62.8,42,0,8.12,AR,clear sky
282,Eyl,7.9803,49.8164,78.96,83,85,18.59,SO,overcast clouds
283,Swellendam,-34.0226,20.4417,58.12,27,0,4.18,ZA,clear sky
284,Mafinga,-7.25,35.0667,69.28,59,100,6.71,TZ,overcast clouds
285,Chicama,-7.8447,-79.1469,72.05,69,40,8.52,PE,scattered clouds
286,Kavieng,-2.5744,150.7967,81.86,76,98,5.97,PG,light rain
287,Blenheim,-41.516,173.9528,58.01,94,100,3.96,NZ,overcast clouds
288,El Dorado,38.7666,-120.5177,90.18,28,100,3.0,US,overcast clouds
289,Tefe,-3.3542,-64.7114,79.41,90,100,2.44,BR,overcast clouds
290,Firovo,57.4814,33.7021,54.27,77,0,3.76,RU,clear sky
291,Maningrida,-12.0667,134.2667,61.72,90,23,8.81,AU,few clouds
292,Tezu,27.9167,96.1667,71.94,96,99,2.08,IN,overcast clouds
293,Hohhot,40.8106,111.6522,62.69,24,97,3.22,CN,overcast clouds
294,Srivardhan,18.0333,73.0167,82.17,78,83,2.17,IN,broken clouds
